,,,,,,,,,,,,,,,,,,,,,,,,,
S. No. ,Name of equipment,PARAMETERS,Make/Model,Identification number,Range,Least count,Calibration Date,Calibration validity,Calibrated by,Section,Remarks,Acceptance criteria,Intermediate checks,,,,,,,,,,,,
70.0,Digital Weighing Balance,,sartarious,27591495.0,Max 8200 g,0.1 g,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
71.0,Barometer (Abs),,fisher,SM 229 BM01,940 TO 1060 mbar(abs),,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
72.0,vicat softening temperature apparatus,,deepak poly plast pvt ltd,SM 307VST 02,0 to 300° C,0.1 °C,2025-08-21 00:00:00,2026-08-20 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
73.0,Semi Micro Balance,,sartorious,3144815184.0,max 220 g,0.0001 g,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
74.0,VST apparatus,,Samya Extrusion Tech ,SM228VST01,30°C to 100° C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
75.0,BOD Incubator,,shri durga scientific industries,SC 307 BI01,5 to 60°C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
76.0,BOD Incubator,,shri durga scientific industries,SC 307 BI02,5 to 60°C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
77.0,BOD Incubator,,shri durga scientific industries,SC 307 BI03,5 to 60°C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
78.0,BOD Incubator,,shri durga scientific industries,SC 307 BI04,5 to 60°C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
79.0,Digital Temperature Controller with Sensor,,Wecon ,12282941.0,abm to 100° C,0.1°C,2025-04-01 00:00:00,2026-03-31 00:00:00,Rasci Instruments India Pvt Ltd,Mechanical,,,,,,,,,,,,,,,
80.0,pressure gauge,,Janatics,SM 334 LTWB 01,0 TO 4 BAR,0.05 bars,2025-10-05 00:00:00,2026-10-04 00:00:00,VENUS CALIBRATION AND INSTRUMENTATION,Mechanical,,,,,,,,,,,,,,,
81.0,Pressure Transmitter,,mass,PSL/PC/017,0 TO 1 BAR,,2025-08-01 00:00:00,2026-07-31 00:00:00,P.S.L INSTRUMENTS & calibration pvt ltd,Mechanical,,,,,,,,,,,,,,,
82.0,Temperature  Transmitter,,--,5632206.0,0 TO 100 C,,2025-08-01 00:00:00,2026-07-31 00:00:00,P.S.L INSTRUMENTS & calibration pvt ltd,Mechanical,,,,,,,,,,,,,,,
83.0,Specific Gravity Bottle ,,borosil,SGB-01,50ml,--,2025-08-26 00:00:00,2026-08-25 00:00:00,Hi Tech Calibration,mechanical,,,,,,,,,,,,,,,
84.0,Specific Gravity Bottle ,,borosil,SGB-02,50ml,--,2025-08-26 00:00:00,2026-08-25 00:00:00,Hi Tech Calibration,mechanical,,,,,,,,,,,,,,,
85.0,Specific Gravity Bottle ,,borosil,SGB-03,50ml,--,2025-08-26 00:00:00,2026-08-25 00:00:00,Hi Tech Calibration,mechanical,,,,,,,,,,,,,,,
86.0,Stop Watch,,casio,SW-02,Upto 2h,0.01 s,2025-08-25 00:00:00,2026-08-24 00:00:00,Hi Tech Calibration,Mechanical,,,,,,,,,,,,,,,
87.0,Stop Watch,,casio,SW-01,Upto 2h,0.01 s,2025-08-25 00:00:00,2026-08-24 00:00:00,Hi Tech Calibration,Mechanical,,,,,,,,,,,,,,,
