BUREAU OF INDIAN STANDARDS,,,,,,,,,,
SOUTHERN REGIONAL LABORATORY,,,,,,,,,,
PHYSICAL VERIFICATION OF CAPITAL EQUIPMENT AS ON 29.02.2025 Mechanical Lab,,,,,,,,,,
S.No.,Name,Make,Cost Rs.P,Lab Code,Location,Dt. Rec.,Entry details in Fixed asset register,URL,QR Code,Status (Working/Not working/Condemned/To be condemned)
76,Flammability tester,ASIAN TEST EQUIPMENTS,135700,SM 256 FT 01,Mech,23.02.2021,7 Register page no. 333,https://docs.google.com/document/d/1BQyEYgYFLD_7tPI4HOyT8S_wlNndp7cG/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
77,Sharp edge tester,ASIAN TEST EQUIPMENTS,53100,SM 257 SET 01,Mech,23.02.2021,7 Register page no. 325,https://docs.google.com/document/d/1eN_mWScVhlC4Jj7pENs8GfKNofE7u-BR/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
78,Water Absorption test apparatus for vitreous sanitary appliance,BAAS TECH,220306,SM 258 WAT 01,Mech,01-03-2021,7 A Register page no. 149,https://docs.google.com/document/d/1q5URAcKpy6ql9V81j8Cu7POZrj2hdVxq/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
79,Bendability of Volve Stem,BAAS TECH,24898,SM 259 BVS 01,Mech,15.02.2021,7 A Register page no. 153,https://docs.google.com/document/d/10aa8bBIaiaI6MUvs_oJ8D4ndbEYxeO5z/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
80,Torque Gauge,S K EQUIPMENTS,57638,SM 260 TG 01,Mech,08.04.2021,7 Register page no.337,Break Performance Tester.docx,,Working
81,Break Performance Tester,ASIAN TEST EQUIPMENTS,123900,SM 261 BPT 01,Mech,03.02.2021,7 A Register page no. 11,https://docs.google.com/document/d/19GKns9Q3wYiQSX46o3lumPRUpHxPIRbb/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
82,Sharp Point Tester,ASIAN TEST EQUIPMENTS,31860,SM 262 SPT 01,Mech,03.02.2021,7 A Register page no. 181,https://docs.google.com/document/d/1Q-LabxGetQaGvFsUHHMzSJzPh0vwr4wY/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
83,Durabilioty Tester,ASIAN TEST EQUIPMENTS,247800,SM 263 DT 01,Mech,03.02.2021,7 A Register page no. 41,https://docs.google.com/document/d/1RuLhNeMMKYDCszQMJKKRfEloFiv_uFQF/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
84,Impact Strength apparatus (cl. 8.2 IS 5820),BAAS TECH,34456,SM 264 ISA 01,Mech,28.10.2021,7 A Register page no. 91,https://docs.google.com/document/d/1ImMcBAPVgHAlDqWw9wtQoxQOT_ZpgB_i/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
85,Arrangement for loadiong for transerve Strength IS 2095(Pt-1),BAAS TECH,28674,SM 265 ALTS 01,Mech,28.10.2021,7 A Register page no. 201,Arrangement for loading for transerve Strength IS 2095(Pt-1)_SM265ALTS01_MECH.docx,,Working
86,Shaper Machine,Soham Impax,460200,SM 266 SM 01,Mech,11.05.2021,7 A Register page no. 182,https://docs.google.com/document/d/1_g4wMOQ8QYfDX6EVszIY39KobZ8WI_90/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
87,Arrangement for loadiong for transerve Strength IS 5820 -1970,BAAS TECH,32332,SM 267 ALTS 01,Mech,25.02.2022,7 A Register page no. 202,https://docs.google.com/document/d/1JPxtap_Qz_bG6L0AxBOaO_d7B1ovGBg4/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
88,Micrometer,Akola Trading Corporation,21098,SM 268 MM 01,Mech,16.09.2022,7 A Register page no. 131,https://docs.google.com/document/d/1v3mYjzZjCRIaUObmHIvlq7JPxL3xLEh1/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
89,Point ended Micrometer,Raj International,21986.94,SM 269 PMM 01,Mech,11.10.2022,7 A Register page no. 131,https://docs.google.com/document/d/1c2OZG5D14QCqqSwdT-4kLTsjO5Fq_uML/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
90,Hot Plate,Digiqual Systems,19399.99,SM 270 HP 01,Mech,10.09.2022,7 A Register page no. 178,https://docs.google.com/document/d/1UdPV4xhu_3wiasD3SUWMMT4btSsYL84v/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
91,Water Bath,Science Enterprises,22500,SM 271WB 01,Mech,30.09.2022,7 A Register page no. 220,https://docs.google.com/document/d/1Lbv9i7YpmziHO0fyruTkb6CxoFsF0VI7/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
92,Vernier Calipers,Sri Sai Enterprises,17083.98,SM272VC 02,Mech,08.08.2022,7 A Register page no. 167,https://docs.google.com/document/d/1xiwyEkDrw8X14lVhMzwRNslL-NLF6BR7/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
